Name,Mover Score,Pub Rank,All time high pub rank,All time low pub rank
package name,Calculated score based on all the other metrics,current rank,highest ever package rank,lowest ever package rank
mason_logger,810,466,417,1688
simple_circular_progress_bar,714,467,361,467
pip_view,716,468,468,536
build_verify,743,469,420,656
profanity_filter,727,470,418,567
collection,753,471,471,882
webview_flutter,708,472,16,876
change_case,746,473,424,689
watch_it,822,474,420,1710
video_player,749,475,475,879
device_info_plus,874,476,24,2505
file_picker,826,477,8,2445
connectivity_plus,681,478,15,847
get_it,810,479,19,2359
json_annotation,756,480,480,882
firebase_cached_image,427,2909,2587,2909
flutter_secure_storage,701,482,19,880
flutter_map_tile_caching,785,483,446,1649
flutter_keyboard_size,741,484,436,713
go_router,752,485,485,881
extension,853,486,421,1641
qr_flutter,758,487,487,885
pedantic_mono,777,488,425,1024
google_fonts,755,489,489,884
flutter_local_notifications,845,490,420,1702
image,756,491,28,887
geolocator,710,492,6,889
auto_size_text,751,493,493,892
get,746,494,494,895
bloc_presentation,779,495,468,1014
archive,768,496,33,914
flutter_simple_treeview,724,497,363,497
carousel_slider,754,498,498,894
flutter_staggered_grid_view,756,499,499,896
rect_getter,700,500,398,500
strings,761,501,442,1022
shelf_router_generator,877,502,460,1932
flutter_arc_text,793,503,469,1209
flutter_document_picker,742,504,431,668
fluttertoast,749,505,505,901
circular_reveal_animation,719,506,345,506
flutter_line_sdk,841,507,490,1823
photo_view,754,508,508,902
xml2json,725,509,509,735
font_awesome_flutter,723,510,11,906
entry,732,511,461,648
flutter_sliding_up_panel,712,512,459,557
dot_curved_bottom_nav,451,2903,1850,2903
board_datetime_picker,807,514,423,1686
card_loading,701,515,411,515
flutter_lorem,707,516,445,546
mockito,787,517,41,954
flutter_animate,736,518,32,910
cupertino_icons,743,519,519,911
fade_shimmer,718,520,433,520
async,900,521,521,2285
chart_sparkline,709,522,469,546
html,730,523,523,912
platform_info,790,524,429,1552
flutter_screenutil,736,525,525,923
flutter_platform_alert,717,526,412,588
flutter_fimber,472,2897,1972,2897
google_mlkit_object_detection,729,528,452,726
quiver,764,529,529,1023
audioplayers,720,530,26,919
device_information,706,531,427,531
flutter_conditional_rendering,738,532,466,788
fwfh_webview,723,533,457,681
custom_platform_device_id,452,2896,1824,2896
openai_dart,788,535,484,1129
dotted_border,735,536,536,927
once,747,537,462,851
date_field,816,538,399,1613
posthog_flutter,860,539,448,1932
rich_text_controller,840,540,482,1809
in_app_notification,717,541,437,541
tint,697,542,443,542
mqtt5_client,732,543,496,806
add_to_cart_animation,693,544,389,544
intersperse,725,545,455,727
map,711,546,456,546
firebase_storage,752,547,547,936
scaled_app,811,548,504,1795
checked_yaml,710,549,470,650
encrypt,909,550,550,2493
smooth_page_indicator,700,551,27,970
custom_image_crop,731,552,432,629
sunmi_printer_plus,687,553,428,553
screenshot,747,554,554,937
app_settings,743,555,555,942
freezed_annotation,755,556,556,943
image_cropper,741,557,557,947
modal_bottom_sheet,737,558,558,948
package_rename,736,559,462,716
mask_text_input_formatter,747,560,560,944
flutter_markdown,736,561,561,935
flutter_state_notifier,728,562,482,702
rive,747,563,563,945
dio_cache_interceptor_hive_store,685,564,467,564
funvas,866,565,463,2004
args,865,566,566,2507
convenient_test,822,567,471,1693
injectable,730,568,71,955
asuka,725,569,449,667
flutter_chat_types,699,570,469,570
xml,735,571,72,956
sqlite_async,773,572,519,1114
aws_s3_api,447,2892,2559,2989
mysql_client,702,574,479,574
objectbox_sync_flutter_libs,476,2891,2025,2973
another_flutter_splash_screen,688,576,364,576
age_calculator,698,577,480,577
auto_route,768,578,74,961
flame_audio,700,579,440,579
fraction,678,580,472,580
melos,861,581,581,2494
dartssh2,795,582,510,1844
pigeon,845,583,83,2461
cupertino_modal_sheet,804,584,453,1675
flutter_colorpicker,739,585,585,964
side_sheet,722,586,481,632
flutter_typeahead,714,587,49,978
showcaseview,731,588,95,958
youtube_player_flutter,722,589,60,962
skeletonizer,723,590,81,983
noise_meter,705,591,458,598
easy_localization,854,592,592,2540
bot_toast,726,593,593,986
nested,775,594,594,1241
progresso,473,2883,1836,2883
unity_ads_plugin,699,596,403,596
charcode,866,597,474,2021
geojson_vi,731,598,507,837
wakelock_plus,712,599,76,960
swagger_parser,853,600,534,2005
flutter_firebase_chat_core,704,601,410,601
ensure_visible_when_focused,743,602,492,922
flutter_sticky_header,876,603,603,2329
simple_logger,720,604,464,636
flutter_fadein,721,605,519,725
built_collection,749,606,606,1143
get_storage,710,607,48,969
datadog_flutter_plugin,727,608,500,678
fpdart,840,609,609,2533
flutter_pdfview,735,610,98,1003
dropdown_search,811,611,54,2571
file,749,612,612,1064
graphql_flutter,737,613,613,993
very_good_analysis,739,614,100,1004
open_file,734,615,615,1007
jwt_decoder,746,616,616,1000
custom_refresh_indicator,728,617,143,1009
flutter_volume_controller,685,618,496,618
g_recaptcha_v3,706,619,515,732
speech_to_text,734,620,620,1018
recase,766,621,621,1198
awesome_extensions,785,622,460,1860
bit_array,477,2876,1969,2919
event_bus,715,624,110,1020
